Project ID,Use Case Quality Score,Defect Count,Project Duration (months),Client Satisfaction,Remarks
P0001,sixty,5 defects,8 m,Medium ,"Incomplete UC, rework happened"
P0002,100 ,eight,14,low,Well defined use cases
P0003,90%,5 defects,14,High,"Incomplete UC, rework happened"
P0004,N/A,15 ,9,Medium ,good but unclear alt flows
P0005,sixty,zero,12months,low,Well defined use cases
P0006, 45%,5 defects,,low,poorly written
P0007,sixty,,8 m,LOW , some missing flows
P0008,100 ,zero,10,low,Well defined use cases
P0009,100 ,zero,14,LOW ,UC not reviewed
P0010,100 ,15 ,12months,, some missing flows
P0011,100 ,,8 m,LOW ,UC not reviewed
P0012,sixty,eight,9,High,poorly written
P0013,,,12months,low,poorly written
P0014,85,15 ,,low, Excellent documentation 
P0015,N/A,5 defects,10,High,poorly written
P0016,,15 ,10,Medium , Excellent documentation 
P0017,100 ,15 ,14,HIGH,Well defined use cases
P0018, 45%,,10,Medium ,UC not reviewed
P0019,90%,,,low, Excellent documentation 
P0020,,,8 m,low, some missing flows
P0021, 45%,15 ,N/A,LOW , some missing flows
P0022,sixty,zero,,High,"Incomplete UC, rework happened"
P0023,,12,10,High,Well defined use cases
P0024,,12,12months,Medium , Excellent documentation 
P0025, 70,12,9,low,poorly written
P0026,85,12,9,LOW , Excellent documentation 
P0027, 45%,20,10,,UC not reviewed
P0028,85,,9,HIGH, some missing flows
P0029,N/A,12,,,"Incomplete UC, rework happened"
P0030,sixty,20,9,HIGH,"Incomplete UC, rework happened"
P0031,N/A,zero,,LOW ,good but unclear alt flows
P0032,90%,15 ,N/A,High,Well defined use cases
P0033,85,20,N/A,HIGH,
P0034,100 ,,9,LOW , Excellent documentation 
P0035,,eight, eleven,Medium ,poorly written
P0036, 70,12,9,,good but unclear alt flows
P0037,100 ,eight,12months,, Excellent documentation 
P0038, 70,12,10,LOW , some missing flows
P0039,100 ,5 defects,9,low,poorly written
P0040,90%,eight,10,HIGH,UC not reviewed
P0041,90%,12,8 m,,
P0042, 45%,zero,14,Medium , some missing flows
P0043, 45%,zero,12months,HIGH,UC not reviewed
