Record_ID,City,Location,Date,Time,Vehicle_Count,Traffic_Density,Accident_Reported,Weather,Road_Type
1,Udaipur,Chetak Circle,01-01-2024,01:00:00,435,High,Yes,Clear,NH
2,Udaipur,Hiran Magri,01-01-2024,02:00:00,207,Low,Yes,Rainy,City Road
3,Udaipur,Goverdhan Vilas,01-01-2024,03:00:00,435,Low,No,Foggy,Residential
4,Udaipur,Udiapole,01-01-2024,04:00:00,416,High,No,Foggy,NH
5,Udaipur,Hiran Magri,01-01-2024,05:00:00,443,Medium,Yes,Foggy,Residential
6,Udaipur,Surajpole,01-01-2024,06:00:00,358,High,Yes,Rainy,NH
7,Udaipur,Fatehpura,01-01-2024,07:00:00,319,High,No,Rainy,Residential
8,Udaipur,Chetak Circle,01-01-2024,08:00:00,483,High,No,Foggy,City Road
9,Udaipur,Chetak Circle,01-01-2024,09:00:00,317,High,Yes,Foggy,NH
10,Udaipur,Fatehpura,01-01-2024,10:00:00,286,Medium,Yes,Clear,NH
11,Udaipur,Goverdhan Vilas,01-01-2024,11:00:00,99,High,Yes,Foggy,City Road
12,Udaipur,Surajpole,01-01-2024,12:00:00,471,Low,No,Rainy,NH
13,Udaipur,Fatehpura,01-01-2024,13:00:00,148,Medium,No,Foggy,Residential
14,Udaipur,Goverdhan Vilas,01-01-2024,14:00:00,103,High,Yes,Rainy,Residential
15,Udaipur,Hiran Magri,01-01-2024,15:00:00,60,High,No,Clear,NH
16,Udaipur,Hiran Magri,01-01-2024,16:00:00,123,High,No,Foggy,City Road
17,Udaipur,Goverdhan Vilas,01-01-2024,17:00:00,222,Low,Yes,Clear,Residential
18,Udaipur,Goverdhan Vilas,01-01-2024,18:00:00,484,Low,No,Rainy,City Road
19,Udaipur,Surajpole,01-01-2024,19:00:00,254,Low,No,Foggy,City Road
20,Udaipur,Surajpole,01-01-2024,20:00:00,469,Medium,No,Clear,City Road
21,Udaipur,Udiapole,01-01-2024,21:00:00,175,Medium,Yes,Rainy,NH
22,Udaipur,Chetak Circle,01-01-2024,22:00:00,128,Medium,Yes,Rainy,City Road
23,Udaipur,Goverdhan Vilas,01-01-2024,23:00:00,364,High,Yes,Foggy,NH
24,Udaipur,Fatehpura,02-01-2024,00:00:00,214,Medium,Yes,Foggy,Residential
25,Udaipur,Fatehpura,02-01-2024,01:00:00,292,High,Yes,Clear,NH
26,Udaipur,Surajpole,02-01-2024,02:00:00,180,Low,No,Rainy,City Road
27,Udaipur,Surajpole,02-01-2024,03:00:00,126,Low,Yes,Rainy,Residential
28,Udaipur,Surajpole,02-01-2024,04:00:00,123,High,Yes,Foggy,NH
29,Udaipur,Udiapole,02-01-2024,05:00:00,464,High,Yes,Foggy,Residential
30,Udaipur,Udiapole,02-01-2024,06:00:00,137,High,Yes,Clear,Residential
31,Udaipur,Udiapole,02-01-2024,07:00:00,394,Medium,Yes,Rainy,NH
32,Udaipur,Surajpole,02-01-2024,08:00:00,190,Medium,Yes,Clear,NH
33,Udaipur,Fatehpura,02-01-2024,09:00:00,90,Medium,Yes,Foggy,NH
34,Udaipur,Surajpole,02-01-2024,10:00:00,287,High,Yes,Rainy,Residential
35,Udaipur,Goverdhan Vilas,02-01-2024,11:00:00,231,Low,No,Foggy,City Road
36,Udaipur,Surajpole,02-01-2024,12:00:00,159,Medium,No,Rainy,Residential
37,Udaipur,Goverdhan Vilas,02-01-2024,13:00:00,167,Medium,Yes,Clear,City Road
38,Udaipur,Goverdhan Vilas,02-01-2024,14:00:00,241,High,No,Foggy,Residential
39,Udaipur,Hiran Magri,02-01-2024,15:00:00,179,High,No,Foggy,Residential
40,Udaipur,Chetak Circle,02-01-2024,16:00:00,149,Low,No,Rainy,NH
41,Udaipur,Fatehpura,02-01-2024,17:00:00,352,Medium,No,Clear,NH
42,Udaipur,Udiapole,02-01-2024,18:00:00,357,High,Yes,Foggy,NH
43,Udaipur,Goverdhan Vilas,02-01-2024,19:00:00,189,Medium,Yes,Rainy,NH
44,Udaipur,Fatehpura,02-01-2024,20:00:00,51,High,Yes,Foggy,NH
45,Udaipur,Hiran Magri,02-01-2024,21:00:00,256,Low,No,Foggy,NH
46,Udaipur,Udiapole,02-01-2024,22:00:00,461,Low,No,Rainy,Residential
47,Udaipur,Udiapole,02-01-2024,23:00:00,469,Low,Yes,Clear,NH
